Población 1:
Variables Numéricas:  7 ->  ['Blastos_de_Médula_Osea', 'Conteo_de_Globulos_blancos', 'Conteo_de_Globulos_rojos', 'Conteo_de_Plaquetas', 'Edad', 'IMC', 'Nivel_de_Hemoglobina']
Variables Categóricas:  14 ->  ['Género', 'País', 'Mutación_Genética', 'Historia_Familiar', 'Estado_de_Fumado', 'Consumo_de_Alcohol', 'Exposición_a_Radiación', 'Historia_de_Infección', 'Enfermedad_Crónica', 'Trastornos_Inmunológicos', 'Etnicidad', 'Estado_Socioeconómico', 'Urbano_Rural', 'Estado_de_Leucemia']
                           VarA                        VarB TipoA TipoB     Test  p-valor       Resultado       p
0        Blastos_de_Médula_Osea  Conteo_de_Globulos_blancos   num   num  Pearson  0.38419  Independientes     NaN
1        Blastos_de_Médula_Osea    Conteo_de_Globulos_rojos   num   num  Pearson  0.25405  Independientes     NaN
2        Blastos_de_Médula_Osea         Conteo_de_Plaquetas   num   num  Pearson  0.35004  Independientes     NaN
3        Blastos_de_Médula_Osea                        Edad   num   num  Pearson  0.76172  Independientes     NaN
4        Blastos_de_Médula_Osea                         IMC   num   num  Pearson  0.29961  Independientes     NaN
5        Blastos_de_Médula_Osea        Nivel_de_Hemoglobina   num   num  Pearson  0.98598  Independientes     NaN
6    Conteo_de_Globulos_blancos    Conteo_de_Globulos_rojos   num   num  Pearson  0.99410  Independientes     NaN
7    Conteo_de_Globulos_blancos         Conteo_de_Plaquetas   num   num  Pearson  0.20493  Independientes     NaN
8    Conteo_de_Globulos_blancos                        Edad   num   num  Pearson  0.62808  Independientes     NaN
9    Conteo_de_Globulos_blancos                         IMC   num   num  Pearson  0.78434  Independientes     NaN
10   Conteo_de_Globulos_blancos        Nivel_de_Hemoglobina   num   num  Pearson  0.32725  Independientes     NaN
11     Conteo_de_Globulos_rojos         Conteo_de_Plaquetas   num   num  Pearson  0.14257  Independientes     NaN
12     Conteo_de_Globulos_rojos                        Edad   num   num  Pearson  0.39256  Independientes     NaN
13     Conteo_de_Globulos_rojos                         IMC   num   num  Pearson  0.78978  Independientes     NaN
14     Conteo_de_Globulos_rojos        Nivel_de_Hemoglobina   num   num  Pearson  0.20866  Independientes     NaN
15          Conteo_de_Plaquetas                        Edad   num   num  Pearson  0.65720  Independientes     NaN
16          Conteo_de_Plaquetas                         IMC   num   num  Pearson  0.85919  Independientes     NaN
17          Conteo_de_Plaquetas        Nivel_de_Hemoglobina   num   num  Pearson  0.72206  Independientes     NaN
18                         Edad                         IMC   num   num  Pearson  0.79344  Independientes     NaN
